"Notes"	"State"	"State Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	13	41214	31.543 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	13	41463	31.353 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"1999"	"1999"	11	379685	2.897 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2006"	"2006"	11	405690	2.711 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2008"	"2008"	10	413172	2.420 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2010"	"2010"	11	419193	2.624 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2011"	"2011"	15	423179	3.545 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2013"	"2013"	14	428109	3.270 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2014"	"2014"	15	429023	3.496 (Unreliable)
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2015"	"2015"	21	428267	4.903
	"South Dakota"	"46"	"Other bacterial diseases"	"A30-A49"	"White"	"2106-3"	"2016"	"2016"	13	428084	3.037 (Unreliable)
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	19	28990	65.540 (Unreliable)
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	27	30130	89.612
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	31	31016	99.948
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	25	31838	78.523
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	29	32692	88.707
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	37	33512	110.408
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	37	34385	107.605
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	24	35400	67.797
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	26	36272	71.681
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	29	37195	77.967
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	29	38142	76.032
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	37	39205	94.376
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	25	39815	62.790
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	48	40390	118.841
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	37	40841	90.595
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	38	41214	92.202
	"South Dakota"	"46"	"Malignant neoplasms"	"C00-C97"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	34	41463	82.001
