"Notes"	"State"	"State Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2006"	"2006"	11	2320176	0.474 (Unreliable)
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2009"	"2009"	13	2351041	0.553 (Unreliable)
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2010"	"2010"	15	2359246	0.636 (Unreliable)
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2011"	"2011"	24	2375083	1.010
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2012"	"2012"	13	2367209	0.549 (Unreliable)
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2013"	"2013"	23	2360672	0.974
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2014"	"2014"	20	2352557	0.850
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2015"	"2015"	32	2344301	1.365
	"Kentucky"	"21"	"Intestinal infectious diseases"	"A00-A09"	"White"	"2106-3"	"2016"	"2016"	26	2335397	1.113
	"Kentucky"	"21"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"1999"	"1999"	11	169750	6.480 (Unreliable)
	"Kentucky"	"21"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2000"	"2000"	14	172419	8.120 (Unreliable)
	"Kentucky"	"21"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2001"	"2001"	13	177895	7.308 (Unreliable)
	"Kentucky"	"21"	"Other bacterial diseases"	"A30-A49"	"Black or African American"	"2054-5"	"2002"	"2002"	15	181222	8.277 (Unreliable)
